model,mse_mean,mse_std,nll_mean,nll_std,picp_mean,picp_std,mpiw_mean,mpiw_std,rece_mean,rece_std
Conformalized Quantile Boosting,19784.060108602047,25483.155886516382,,,0.9090909090909091,0.09819304088496758,415.8996347140969,105.63884841556477,,
Conformalized Standard ANN,9806.494288783455,7615.5374374185885,,,0.875,0.07762841489363334,307.64060401916504,127.72171660549628,,
Deep Ensemble,12918.985694060782,15725.798583476997,6.713369305691074,1.8891124979331577,0.8295454545454546,0.022727272727272707,136.9041145860308,39.798570547584745,0.08030303030303032,0.01792751449424127
Deterministic Dual-Head,11662.669033374386,10567.974769510547,55.64940201566989,62.668791218231505,0.3977272727272727,0.1407134516742933,59.169433823659105,15.79160622625215,0.37752525252525254,0.08353714490850574
MC Dropout p=0.1,16910.11478360575,23534.233712149085,5.802630479124174,0.15564759095884304,0.9772727272727273,0.026243194054073875,470.9414458670935,42.54819701577248,0.19267676767676767,0.0491977264114171
Standard ANN,9806.494288783455,7615.5374374185885,9.524022352209016,3.428528211648909,0.6931818181818181,0.15018354243635615,118.61727552719097,31.190985207565422,0.1691919191919192,0.11524746430812596
